FILE,DS_TCC,DS_CYCLO,DS_CM,DS_NOAM,DS_NOPA,DS_CC,DS_LOCM,DS_NOAV,DS_WMC,DS_ATFD,DS_LOCC,DS_MAXNESTING,DS_WOC
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/CaseModel.cs_new.cs,4.9E-324,1.0,2.0,53.0,26.0,2.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,0.037037037037037035
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/AddressController.cs_new.cs,4.9E-324,19.0,1.0,4.9E-324,4.9E-324,4.9E-324,36.0,16.0,31.0,11.0,112.0,2.0,5.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/CallStatusController.cs_new.cs,4.9E-324,3.0,1.0,4.9E-324,4.9E-324,1.0,17.0,6.0,10.0,2.0,66.0,2.0,4.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/CaseEmailController.cs_new.cs,4.9E-324,21.0,4.0,4.9E-324,4.9E-324,1.0,36.0,17.0,33.0,12.0,123.0,2.0,6.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Handlers/GetCaseItems.ashx.cs_new.cs,0.16666666666666666,1.0,2.0,1.0,4.9E-324,4.9E-324,15.0,7.0,4.0,1.0,33.0,4.9E-324,2.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Web/Login.aspx.cs_new.cs,4.9E-324,1.0,4.9E-324,4.9E-324,4.9E-324,4.9E-324,4.0,4.9E-324,1.0,4.9E-324,4.0,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Models/SassParticipationTypeModel.cs_new.cs,4.9E-324,1.0,1.0,4.9E-324,4.9E-324,1.0,2.0,4.9E-324,1.0,4.9E-324,2.0,4.9E-324,1.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/CareerStatusTypeController.cs_new.cs,4.9E-324,3.0,1.0,4.9E-324,4.9E-324,4.9E-324,17.0,6.0,10.0,2.0,66.0,2.0,4.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/UserController.cs_new.cs,4.9E-324,9.0,6.0,4.9E-324,4.9E-324,2.0,23.0,7.0,16.0,6.0,79.0,2.0,4.0
FILE:/Users/janschumacher/Dropbox/Technical Debt/keymindStudy/keymindJEMS/code/JEMS_all_cs_new/JEMS.Core/Controllers/StateController.cs_new.cs,4.9E-324,3.0,1.0,4.9E-324,4.9E-324,4.9E-324,14.0,4.0,10.0,1.0,58.0,2.0,4.0
